feature,importance
vibration_mm_s_rolling_mean_5,0.26481307
motor_current_a_rolling_mean_60,0.096661836
vibration_mm_s_rolling_mean_15,0.08152767
temperature_c_rolling_mean_60,0.07490286
asset_type,0.05162714
temperature_c,0.04892048
vibration_mm_s_rolling_mean_60,0.045038186
vibration_mm_s,0.037504584
pressure_bar_rolling_mean_60,0.030219594
temperature_c_rolling_mean_5,0.029253818
valve_position_pct_rolling_mean_5,0.026595524
temperature_c_rolling_mean_15,0.022369431
pressure_bar_rolling_mean_5,0.017398743
vibration_mm_s_rolling_std_60,0.016947202
asset_id,0.014497978
vibration_mm_s_lag_1,0.013981667
pressure_bar_rolling_mean_15,0.011697987
flow_rate_m3h_rolling_std_60,0.010356653
valve_position_pct_rolling_std_60,0.01027108
valve_position_pct_rolling_mean_60,0.009248544
temperature_c_rolling_std_60,0.007430039
pressure_bar_rolling_std_60,0.007251532
flow_rate_m3h_rolling_mean_60,0.006815644
valve_position_pct_rolling_mean_15,0.0063073942
alarm_code,0.006278371
motor_current_a_rolling_std_60,0.006074126
valve_position_pct,0.005853567
valve_position_pct_lag_1,0.0030528042
temperature_c_rolling_std_15,0.0030119605
pressure_bar,0.0027418437
vibration_mm_s_rolling_std_15,0.002644224
temperature_c_lag_1,0.0025494334
pressure_bar_rolling_std_15,0.0022406226
motor_current_a_rolling_mean_5,0.002087701
flow_rate_m3h_rolling_mean_15,0.0020734158
motor_current_a_rolling_mean_15,0.0016207696
valve_position_pct_rolling_std_5,0.0015762803
pressure_bar_lag_1,0.001496411
flow_rate_m3h_rolling_std_15,0.0013771553
motor_current_a_rolling_std_15,0.0012458371
pressure_bar_rolling_std_5,0.0012176767
vibration_mm_s_delta_1,0.0011582351
motor_current_a_lag_1,0.0011513468
temperature_c_rolling_std_5,0.0011421157
temperature_c_delta_1,0.0010019232
valve_position_pct_rolling_std_15,0.0008741941
vibration_mm_s_rolling_std_5,0.00083479914
motor_current_a_delta_1,0.0008204858
valve_position_pct_delta_1,0.0006647152
flow_rate_m3h_rolling_std_5,0.0005819535
motor_current_a_rolling_std_5,0.00056304655
flow_rate_m3h_lag_1,0.00050739804
flow_rate_m3h,0.0004903756
motor_current_a,0.00046472528
pressure_bar_delta_1,0.00035132584
flow_rate_m3h_delta_1,0.00031440635
flow_rate_m3h_rolling_mean_5,0.00029814625
operating_state,0.0
